League;Season;Club;Pts Home;Pts Away;Pts Total
Bundesliga;2022/2023;Dortmund;44;27;71
Bundesliga;2022/2023;RB Leipzig;41;25;66
Bundesliga;2022/2023;Union Berlin;39;23;62
Bundesliga;2022/2023;Bayern Munich;38;33;71
Bundesliga;2022/2023;Freiburg;34;25;59
Bundesliga;2022/2023;Monchengladbach;33;10;43
Bundesliga;2022/2023;E. Frankfurt;32;18;50
Bundesliga;2022/2023;Leverkusen;27;23;50
Bundesliga;2022/2023;Bochum;26;9;35
Bundesliga;2022/2023;Wolfsburg;25;24;49
Bundesliga;2022/2023;FSV Mainz;24;22;46
Bundesliga;2022/2023;FC Koln;23;19;42
Bundesliga;2022/2023;Hoffenheim;23;13;36
Bundesliga;2022/2023;FC Augsburg;22;12;34
Bundesliga;2022/2023;Stuttgart;21;12;33
Bundesliga;2022/2023;Hertha Berlin;21;8;29
Bundesliga;2022/2023;Schalke 04;20;11;31
Bundesliga;2022/2023;Werder Bremen;17;19;36
Bundesliga;2021/2022;Bayern Munich;41;36;77
Bundesliga;2021/2022;Dortmund;39;30;69
Bundesliga;2021/2022;RB Leipzig;35;23;58
Bundesliga;2021/2022;FSV Mainz;35;11;46
Bundesliga;2021/2022;Union Berlin;35;22;57
Bundesliga;2021/2022;Leverkusen;32;32;64
Bundesliga;2021/2022;FC Koln;31;21;52
Bundesliga;2021/2022;Freiburg;29;26;55
Bundesliga;2021/2022;Hoffenheim;28;18;46
Bundesliga;2021/2022;Monchengladbach;28;17;45
Bundesliga;2021/2022;Bochum;28;14;42
Bundesliga;2021/2022;FC Augsburg;25;13;38
Bundesliga;2021/2022;Wolfsburg;24;18;42
Bundesliga;2021/2022;Stuttgart;22;11;33
Bundesliga;2021/2022;Hertha Berlin;21;12;33
Bundesliga;2021/2022;E. Frankfurt;19;23;42
Bundesliga;2021/2022;Bielefeld;16;12;28
Bundesliga;2021/2022;Greuther Furth;14;4;18
Bundesliga;2020/2021;Bayern Munich;43;35;78
Bundesliga;2020/2021;E. Frankfurt;37;23;60
Bundesliga;2020/2021;RB Leipzig;37;28;65
Bundesliga;2020/2021;Dortmund;35;29;64
Bundesliga;2020/2021;Wolfsburg;34;27;61
Bundesliga;2020/2021;Union Berlin;32;18;50
Bundesliga;2020/2021;Leverkusen;29;23;52
Bundesliga;2020/2021;Monchengladbach;28;21;49
Bundesliga;2020/2021;Freiburg;27;18;45
Bundesliga;2020/2021;Hoffenheim;27;16;43
Bundesliga;2020/2021;FC Augsburg;22;14;36
Bundesliga;2020/2021;Stuttgart;21;24;45
Bundesliga;2020/2021;Hertha Berlin;20;15;35
Bundesliga;2020/2021;Bielefeld;20;15;35
Bundesliga;2020/2021;FSV Mainz;16;23;39
Bundesliga;2020/2021;FC Koln;14;19;33
Bundesliga;2020/2021;Werder Bremen;14;17;31
Bundesliga;2020/2021;Schalke 04;12;4;16
Bundesliga;2019/2020;Bayern Munich;41;41;82
Bundesliga;2019/2020;Monchengladbach;38;27;65
Bundesliga;2019/2020;Dortmund;36;33;69
Bundesliga;2019/2020;Leverkusen;31;32;63
Bundesliga;2019/2020;RB Leipzig;29;37;66
Bundesliga;2019/2020;Freiburg;29;19;48
Bundesliga;2019/2020;E. Frankfurt;28;17;45
Bundesliga;2019/2020;Union Berlin;27;14;41
Bundesliga;2019/2020;FC Koln;22;14;36
Bundesliga;2019/2020;Schalke 04;22;17;39
Bundesliga;2019/2020;Hoffenheim;22;30;52
Bundesliga;2019/2020;Hertha Berlin;21;20;41
Bundesliga;2019/2020;FC Augsburg;20;16;36
Bundesliga;2019/2020;Wolfsburg;19;30;49
Bundesliga;2019/2020;Dusseldorf;18;12;30
Bundesliga;2019/2020;FSV Mainz;17;20;37
Bundesliga;2019/2020;Werder Bremen;9;22;31
Bundesliga;2019/2020;Paderborn;8;12;20
Bundesliga;2018/2019;Dortmund;44;32;76
Bundesliga;2018/2019;Bayern Munich;42;36;78
Bundesliga;2018/2019;RB Leipzig;36;30;66
Bundesliga;2018/2019;Werder Bremen;30;23;53
Bundesliga;2018/2019;Monchengladbach;30;25;55
Bundesliga;2018/2019;Wolfsburg;29;26;55
Bundesliga;2018/2019;FSV Mainz;29;14;43
Bundesliga;2018/2019;Leverkusen;29;29;58
Bundesliga;2018/2019;E. Frankfurt;28;26;54
Bundesliga;2018/2019;Dusseldorf;27;17;44
Bundesliga;2018/2019;Hoffenheim;26;25;51
Bundesliga;2018/2019;Freiburg;25;11;36
Bundesliga;2018/2019;Hertha Berlin;24;19;43
Bundesliga;2018/2019;Stuttgart;22;6;28
Bundesliga;2018/2019;FC Augsburg;19;13;32
Bundesliga;2018/2019;FC Nurnberg;16;3;19
Bundesliga;2018/2019;Hannover 96;16;5;21
Bundesliga;2018/2019;Schalke 04;15;18;33
Premier League;2022/2023;Manchester City;52;37;89
Premier League;2022/2023;Manchester Utd;48;27;75
Premier League;2022/2023;Arsenal;45;39;84
Premier League;2022/2023;Liverpool;44;23;67
Premier League;2022/2023;Newcastle Utd;39;32;71
Premier League;2022/2023;Aston Villa;38;23;61
Premier League;2022/2023;Brentford;37;22;59
Premier League;2022/2023;Tottenham;37;23;60
Premier League;2022/2023;Brighton;34;28;62
Premier League;2022/2023;Nottm Forest;30;8;38
Premier League;2022/2023;Wolverhampton;30;11;41
Premier League;2022/2023;Fulham;29;23;52
Premier League;2022/2023;West Ham Utd;28;12;40
Premier League;2022/2023;Crystal Palace;28;17;45
Premier League;2022/2023;Chelsea;25;19;44
Premier League;2022/2023;Bournemouth;22;17;39
Premier League;2022/2023;Leeds Utd;22;9;31
Premier League;2022/2023;Everton;21;15;36
Premier League;2022/2023;Leicester City;19;15;34
Premier League;2022/2023;Southampton;11;14;25
Premier League;2021/2022;Liverpool;49;43;92
Premier League;2021/2022;Manchester City;47;46;93
Premier League;2021/2022;Arsenal;41;28;69
Premier League;2021/2022;Tottenham;40;31;71
Premier League;2021/2022;Manchester Utd;35;23;58
Premier League;2021/2022;Chelsea;34;40;74
Premier League;2021/2022;Leicester City;34;18;52
Premier League;2021/2022;West Ham Utd;32;24;56
Premier League;2021/2022;Newcastle Utd;30;19;49
Premier League;2021/2022;Crystal Palace;29;19;48
Premier League;2021/2022;Everton;29;10;39
Premier League;2021/2022;Southampton;25;15;40
Premier League;2021/2022;Brentford;24;22;46
Premier League;2021/2022;Wolverhampton;24;27;51
Premier League;2021/2022;Aston Villa;23;22;45
Premier League;2021/2022;Brighton;22;29;51
Premier League;2021/2022;Burnley;21;14;35
Premier League;2021/2022;Leeds Utd;18;20;38
Premier League;2021/2022;Norwich City;12;10;22
Premier League;2021/2022;Watford;8;15;23
Premier League;2020/2021;Manchester City;41;45;86
Premier League;2020/2021;West Ham Utd;34;31;65
Premier League;2020/2021;Tottenham;33;29;62
Premier League;2020/2021;Chelsea;33;34;67
Premier League;2020/2021;Liverpool;33;36;69
Premier League;2020/2021;Manchester Utd;31;43;74
Premier League;2020/2021;Leeds Utd;29;30;59
Premier League;2020/2021;Leicester City;28;38;66
Premier League;2020/2021;Arsenal;28;33;61
Premier League;2020/2021;Southampton;27;16;43
Premier League;2020/2021;Aston Villa;25;30;55
Premier League;2020/2021;Wolverhampton;25;20;45
Premier League;2020/2021;Newcastle Utd;23;22;45
Premier League;2020/2021;Crystal Palace;23;21;44
Premier League;2020/2021;Everton;22;37;59
Premier League;2020/2021;Brighton;21;20;41
Premier League;2020/2021;Burnley;18;21;39
Premier League;2020/2021;Sheffield Utd;16;7;23
Premier League;2020/2021;West Brom;15;11;26
Premier League;2020/2021;Fulham;10;18;28
Premier League;2019/2020;Liverpool;55;44;99
Premier League;2019/2020;Manchester City;47;34;81
Premier League;2019/2020;Tottenham;39;20;59
Premier League;2019/2020;Manchester Utd;37;29;66
Premier League;2019/2020;Leicester City;37;25;62
Premier League;2019/2020;Chelsea;36;30;66
Premier League;2019/2020;Arsenal;36;20;56
Premier League;2019/2020;Sheffield Utd;33;21;54
Premier League;2019/2020;Wolverhampton;31;28;59
Premier League;2019/2020;Everton;31;18;49
Premier League;2019/2020;Burnley;28;26;54
Premier League;2019/2020;Newcastle Utd;26;18;44
Premier League;2019/2020;Watford;24;10;34
Premier League;2019/2020;Aston Villa;24;11;35
Premier League;2019/2020;Crystal Palace;23;20;43
Premier League;2019/2020;West Ham Utd;22;17;39
Premier League;2019/2020;Brighton;22;19;41
Premier League;2019/2020;Bournemouth;21;13;34
Premier League;2019/2020;Southampton;21;31;52
Premier League;2019/2020;Norwich City;15;6;21
Premier League;2018/2019;Manchester City;54;44;98
Premier League;2018/2019;Liverpool;53;44;97
Premier League;2018/2019;Arsenal;45;25;70
Premier League;2018/2019;Chelsea;42;30;72
Premier League;2018/2019;Tottenham;38;33;71
Premier League;2018/2019;Manchester Utd;36;30;66
Premier League;2018/2019;Everton;34;20;54
Premier League;2018/2019;Wolverhampton;34;23;57
Premier League;2018/2019;West Ham Utd;31;21;52
Premier League;2018/2019;Bournemouth;29;16;45
Premier League;2018/2019;Leicester City;27;25;52
Premier League;2018/2019;Watford;27;23;50
Premier League;2018/2019;Newcastle Utd;25;20;45
Premier League;2018/2019;Southampton;23;16;39
Premier League;2018/2019;Burnley;23;17;40
Premier League;2018/2019;Brighton;23;13;36
Premier League;2018/2019;Fulham;21;5;26
Premier League;2018/2019;Crystal Palace;20;29;49
Premier League;2018/2019;Cardiff City;20;14;34
Premier League;2018/2019;Huddersfield;9;7;16
La Liga;2022/2023;FC Barcelona;48;40;88
La Liga;2022/2023;Real Madrid;44;34;78
La Liga;2022/2023;Atletico Madrid;42;35;77
La Liga;2022/2023;Villarreal;39;25;64
La Liga;2022/2023;Real Sociedad;38;33;71
La Liga;2022/2023;Mallorca;35;15;50
La Liga;2022/2023;Osasuna;34;19;53
La Liga;2022/2023;Girona;33;16;49
La Liga;2022/2023;Almeria;33;8;41
La Liga;2022/2023;Real Betis;32;28;60
La Liga;2022/2023;Rayo Vallecano;32;17;49
La Liga;2022/2023;Valencia;29;13;42
La Liga;2022/2023;Valladolid;28;12;40
La Liga;2022/2023;Athletic Bilbao;27;24;51
La Liga;2022/2023;Celta Vigo;27;16;43
La Liga;2022/2023;Getafe;27;15;42
La Liga;2022/2023;Cadiz;27;15;42
La Liga;2022/2023;Sevilla FC;26;23;49
La Liga;2022/2023;Espanyol;19;18;37
La Liga;2022/2023;Elche;15;10;25
La Liga;2021/2022;Real Madrid;44;42;86
La Liga;2021/2022;Sevilla FC;42;28;70
La Liga;2021/2022;Atletico Madrid;41;30;71
La Liga;2021/2022;FC Barcelona;38;35;73
La Liga;2021/2022;Villarreal;36;23;59
La Liga;2021/2022;Real Sociedad;35;27;62
La Liga;2021/2022;Athletic Bilbao;34;21;55
La Liga;2021/2022;Espanyol;33;9;42
La Liga;2021/2022;Real Betis;32;33;65
La Liga;2021/2022;Rayo Vallecano;29;13;42
La Liga;2021/2022;Getafe;28;11;39
La Liga;2021/2022;Elche;27;15;42
La Liga;2021/2022;Mallorca;27;12;39
La Liga;2021/2022;Valencia;26;22;48
La Liga;2021/2022;Celta Vigo;25;21;46
